year,month,indicator,value,unit,remarks
2022,Jan,Energy Consumption (GRI 302),10149.0,kWh,Normal production fluctuation
2022,Feb,Energy Consumption (GRI 302),9929.8,kWh,Normal production fluctuation
2022,Mar,Energy Consumption (GRI 302),9859.2,kWh,Normal production fluctuation
2022,Apr,Energy Consumption (GRI 302),10072.6,kWh,Normal production fluctuation
2022,May,Energy Consumption (GRI 302),9696.2,kWh,Normal production fluctuation
2022,Jun,Energy Consumption (GRI 302),10439.7,kWh,Normal production fluctuation
2022,Jul,Energy Consumption (GRI 302),9836.7,kWh,Normal production fluctuation
2022,Aug,Energy Consumption (GRI 302),9819.8,kWh,Normal production fluctuation
2022,Sep,Energy Consumption (GRI 302),9996.0,kWh,Normal production fluctuation
2022,Oct,Energy Consumption (GRI 302),10062.7,kWh,Normal production fluctuation
2022,Nov,Energy Consumption (GRI 302),10221.5,kWh,Normal production fluctuation
2022,Dec,Energy Consumption (GRI 302),9556.4,kWh,Normal production fluctuation
