year,month,indicator,value,unit,remarks
2024,Jan,Energy Consumption (GRI 302),11088.8,kWh,Normal production fluctuation
2024,Feb,Energy Consumption (GRI 302),10575.4,kWh,Normal production fluctuation
2024,Mar,Energy Consumption (GRI 302),10951.6,kWh,Normal production fluctuation
2024,Apr,Energy Consumption (GRI 302),11077.3,kWh,Normal production fluctuation
2024,May,Energy Consumption (GRI 302),11018.1,kWh,Normal production fluctuation
2024,Jun,Energy Consumption (GRI 302),10989.6,kWh,Normal production fluctuation
2024,Jul,Energy Consumption (GRI 302),11237.3,kWh,Normal production fluctuation
2024,Aug,Energy Consumption (GRI 302),11176.1,kWh,Normal production fluctuation
2024,Sep,Energy Consumption (GRI 302),11029.9,kWh,Normal production fluctuation
2024,Oct,Energy Consumption (GRI 302),10681.3,kWh,Normal production fluctuation
2024,Nov,Energy Consumption (GRI 302),10765.0,kWh,Normal production fluctuation
2024,Dec,Energy Consumption (GRI 302),11068.2,kWh,Normal production fluctuation
